 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Otter ,Stearns,Eurasian watermilfoil,2011,2011,73001500
Otter,Stearns,zebra mussel,2015,connected to Clearwater (86-0252),73001500
Otter Tail,Otter Tail,zebra mussel,2016,2016,56024200
Otter Tail River (Red River),Otter Tail,zebra mussel,2017,connected to Otter Tail and East Lost,56071100
Otter Tail River from 500 feet upstream of the confluence of the Pelican River downstream to the Bois De Sioux River including 500 feet upstream into its tributaries ,Multiple (Otter Tail and Wilkin),zebra mussel,2013,2012,
Outlet Creek from Minnewaska to Emily,Pope,zebra mussel,2012,connected to Minnewaska (61-0130),
Owasso,Ramsey,Eurasian watermilfoil,2000,2000,62005600
Owasso,Ramsey,zebra mussel,2021,2021,62005600
Park,Murray,zebra mussel,2022,connected to Shetek (51-0046),51002800
Parker?s,Hennepin,Eurasian watermilfoil,1995,1991,27010700
Parley,Carver,Eurasian watermilfoil,2001,2001,10004200
Paul,Otter Tail,zebra mussel,2013,2012,56033500
Pearl,Jackson,bighead carp,2012,connected water,32003300
Pearl,Jackson,silver carp,2012,connected water,32003300
Peavey,Hennepin,Eurasian watermilfoil,1999,1988,27013800
Peavey,Hennepin,zebra mussel,2012,connected to Minnetonka (27-0133),27013800
Pelican,Wright,Eurasian watermilfoil,2010,2010,86003100
Pelican,Crow Wing,zebra mussel,2012,2012,18030800
Pelican,Otter Tail,zebra mussel,2009,2009,56078600
Pelican,Pope,zebra mussel,2019,2019,61011100
Pelican Brook from the source at Ossawinnamakee to the Pine River,Crow Wing,zebra mussel,2007,2003,
Pelican River from Detroit to Muskrat,Becker,flowering rush,2007,,
Pelican River from Bucks Mill Drive downstream to the Otter Tail River including 500 feet upstream into its tributaries,Multiple (Becker and Otter Tail counties),zebra mussel,2009,2012,
Peltier,Anoka,Eurasian watermilfoil,2000,2000,2000400
Pennington Mine,Crow Wing,zebra mussel,2017,connected to Mahnomen Mine Pit #1 and #2 (18-0440-01 and 18-0440-02),18043900
Pepin,Multiple (Goodhue Wabasha),bighead carp,2012,2003,25000100
Pepin,Multiple (Goodhue and Wabasha),Eurasian watermilfoil,2012,,25000100
Pepin,Multiple (Goodhue Wabasha),silver carp,2012,connected to other Mississippi River pools,25000100
Pepin,Multiple (Goodhue Wabasha),zebra mussel,2012,1992,25000100
Perkins,Stevens,zebra mussel,2018,2018,75007500
Phalen,Ramsey,Eurasian watermilfoil,1997,1997,62001300
Pickerel,Becker,flowering rush,2015,2015,3028700
Pickerel,Becker,zebra mussel,2014,2014,3028700
Pickerel,Crow Wing,zebra mussel,2006,connected to Mississippi River,18023200
Pickerel,Ottertail,zebra mussel,2020,2020,56047500
Pierson,Carver,Eurasian watermilfoil,1995,1991,10005300
Pierson,Carver,zebra mussel,2020,2020,10005300
Pig,Crow Wing,zebra mussel,2014,2016,18035400
Pigeon River downstream of South Fowl,Cook,spiny waterflea,2010,2010,
Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),
Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),
Pike,Scott,Eurasian watermilfoil,2014,2012,70007600
Pike,Scott,zebra mussel,2021,2021,70007600
Pike,St. Louis,zebra mussel,2009,2009,69049000
Pike Bay,Cass,zebra mussel,2014,2016,11041500
Pike River from Pike River Dam at CSAH 77 near Peyla to Vermilion  and Vermilion River from Vermilion to Crane,St. Louis,spiny waterflea,2015,connected to Vermilion (69-0378),
Pimushe,Beltrami,starry stonewort,2021,2021,4003200
Pimushe,Beltrami,zebra mussel,2019,2019,4003200
Pine,Crow Wing,Eurasian watermilfoil,2017,2017,18026100
Pine,Cook,spiny waterflea,2005,2004,16004100
Pine Mountain,Cass,zebra mussel,2021,2021,11041100
Pine River,Crow Wing,Eurasian watermilfoil,2017,2017,
Pine River from the base of Cross Lake Dam to the confluence with Pelican Brook,Crow Wing,zebra mussel,2014,,
Pine River from 500 feet upstream of the mouth of Pelican Brook to the Mississippi River including 500 feet upstream into its tributaries,Crow Wing,zebra mussel,2006,2003,
Pine Tree,Washington,Eurasian watermilfoil,2021,2021,82012200
Pioneer,Chisago,Eurasian watermilfoil,2022,2022,13003400
Pleasant,Ramsey,Eurasian watermilfoil,2010,2010,62004600
Pleasant,Wright,Eurasian watermilfoil,2017,2017,86021500
Pleasant,Wright,starry stonewort,2018,2018,86025100
Pleasant,Ramsey,zebra mussel,2007,2007,62004600
Pleasant,Wright,zebra mussel,2020,2020,86025100
Pletz Marsh,Jackson,bighead carp,2012,connected water,32002700
Pletz Marsh,Jackson,silver carp,2012,connected water,32002700
Plum,Jackson,bighead carp,2012,connected water,32007100
Plum,Jackson,silver carp,2012,connected water,32007100
Pocket,Douglas,zebra mussel,2016,2016,21014000
Pokegama,Pine,Eurasian watermilfoil,2006,2005,58014200
Pokegama,Itasca,zebra mussel,2019,connected to Blandin Reservoir (31-0533),31053200
Pomme de Terre,Grant,zebra mussel,2018,2018,26009700
Pomme de Terre River,Multiple (Otter Tail Grant and Stevens),zebra mussel,2018,connected - zebra mussels confirmed in Pomme de Terre River between Middle and North Pomme de Terre in 2018,
Pond Six,Ramsey,Eurasian watermilfoil,2002,2001,62027100
Pond Three,Ramsey,Eurasian watermilfoil,2006,2004,62027900
Portage,Crow Wing,Eurasian watermilfoil,2019,connected to Crooked (18-0041),18005000
Portage,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),31082400
Portage (in Lebanon Hills Regional Park),Dakota,Eurasian watermilfoil,2016,2016,19007400
Powderhorn,Hennepin,Eurasian watermilfoil,2008,2003,27001400
Powers,Washington,Eurasian watermilfoil,1998,1998,82009200
Prairie,Otter Tail,zebra mussel,2009,2011,56091500
Pug Hole,Beltrami,zebra mussel,2014,2017,4000300
Pulaski,Wright,Eurasian watermilfoil,1995,1991,86005300
Pulaski,Wright,zebra mussel,2022,2022,86005300
Quarry,Dakota,Eurasian watermilfoil,2007,2006,19012800
Quarry,Scott,Eurasian watermilfoil,2016,2016,70034300
Rabbit (East Portion),Crow Wing,zebra mussel,2022,connected to West Rabbit (18-0093-02),18009301
Rabbit (West Portion),Crow Wing,zebra mussel,2022,2022,18009302
Rabbits,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),31092300
Rabbits,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),31092300
Rabour,Chisago,Eurasian watermilfoil,2021,2021,13007900
Rainy,St. Louis,spiny waterflea,2007,2006,69069400
Rainy,St. Louis,zebra mussel,2021,2021,69069400
Rainy River from Rainy Lake to Lake of the Woods,Multiple (Koochiching Lake of the Woods),spiny waterflea,2007,2007,
Ramsey,Wright,Eurasian watermilfoil,2004,2003,86001200
Rapid River from 500 feet upstream of Highway 11 to Clementson Bay of the Rainy River,Lake of the Woods,spiny waterflea,2007,connected to Rainy River,
Raven,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),31092500
Raven,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),31092500
Ravens Flowage,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),31092500
Ravens Flowage (includes unnamed creek from S3 T146N R29W to S11 T146N R29W and Raven Creek downstream of Raven and Rabbit lakes to Lake Winnibigoshish),Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),
Ray's,Le Sueur,Eurasian watermilfoil,2009,2008,40005600
Rebecca,Hennepin,Eurasian watermilfoil,1995,1989,27019200
Rebecca,Dakota,zebra mussel,2009,2009,19000300
Red (Upper Red),Beltrami,starry stonewort,2016,2016,4003501
Red (Upper Red),Beltrami,zebra mussel,2019,2019,4003500
Red River,Multiple (Clay Kittson Marshall Norman Polk and Wilkin),zebra mussel,2015,2015,
Red Rock,Douglas,zebra mussel,2022,2022,21029100
Redick Swamp,Douglas,zebra mussel,2017,Connected to Whiskey (21021600),21021400
Reed,Otter Tail,zebra mussel,2018,connected to Long (56-0784),56087600
Reeds,Waseca,Eurasian watermilfoil,2014,2014,81005500
Reitz,Carver,Eurasian watermilfoil,2008,2008,10005200
Reno,Pope,zebra mussel,2014,connected to Maple (21-0079),61007800
Rice,Hennepin,Eurasian watermilfoil,1997,1996,27011600
Rice,Stearns,starry stonewort,2016,2016,73019600
Rice,Crow Wing,zebra mussel,2006,2005,18014500
Rice,Itasca,zebra mussel,2013,connected to Sand (31-0826) and Little Sand (31-0853),31087600
Riley,Carver,Eurasian watermilfoil,1995,1990,10000200
Riley,Carver,zebra mussel,2018,2018,10000200
Ripley,Meeker,Eurasian watermilfoil,2004,2002,47013401
Ripley,Meeker,Eurasian watermilfoil,2004,2002,47013402
Ripple River between Bay and Tame Fish,Crow Wing,Eurasian watermilfoil,2000,2000,
Rock,Wright,Eurasian watermilfoil,1995,1993,86018200
Roe Mine,Crow Wing,zebra mussel,2021,2021,18011900
Roosevelt,Cass and Crow Wing,Eurasian watermilfoil,2016,2016,11004300
Rose,Otter Tail,zebra mussel,2011,2011,56036000
Rossier,Stearns,zebra mussel,2014,connected water,73007200
Round,Jackson,bighead carp,2012,connected water,32006900
Round,Hennepin,brittleleaf naiad,2010,2010,27007100
Round,Douglas,Eurasian watermilfoil,2014,2013,21019700
Round,Hennepin,Eurasian watermilfoil,1996,1995,27007100
Round,Ramsey,Eurasian watermilfoil,1997,1997,62001200
Round,Wright,Eurasian watermilfoil,2009,2009,86019200
Round,Jackson,silver carp,2012,connected water,32006900
Round,Aitkin and Crow Wing,zebra mussel,2016,2016,1020400
Round,Crow Wing,zebra mussel,2010,2010,18037300
Round,Grant,zebra mussel,2017,Downstream of Elk (26004000),26003100
Round,Otter Tail,zebra mussel,2019,connected to West McDonald (56-0386-02),56052200
Round,Otter Tail,zebra mussel,2018,2018,56021400
Roy,Crow Wing,zebra mussel,2010,connected to Gull (11-0305),18039800
Royal,Cook,spiny waterflea,2010,2010,16002500
Royal River between Little John and North Fowls,Cook,spiny waterflea,2010,connected to Little John (16-0026),
Rum River including 500 feet upstream into its tributaries ,Multiple (Anoka Isanti Mille Lacs and Sherburne),zebra mussel,2007,2005,
Rum River including 500 feet upstream into its tributaries,Multiple (Anoka Isanti Mille Lacs and Sherburne),zebra mussel,2007,2005,
Rusch,Otter Tail,zebra mussel,2013,2012,56164100
Rush,Jackson,bighead carp,2012,connected water,32003100
Rush,Jackson,bighead carp,2012,connected water,32006300
Rush,Chisago,Eurasian watermilfoil,1995,1992,13006902
Rush,Chisago,Eurasian watermilfoil,1995,1992,13006901
Rush,Sherburne,Eurasian watermilfoil,2014,2014,71014700
Rush,Jackson,silver carp,2012,connected water,32003100
Rush,Jackson,silver carp,2012,connected water,32006300
Rush,Otter Tail,zebra mussel,2017,2017,56014100
Rush-Hen,Crow Wing,zebra mussel,2014,2013,18031100
Ruth,Crow Wing,Eurasian watermilfoil,1997,1997,18021200
Ruth,Crow Wing,zebra mussel,2015,2015,18021200
Sabin (Embarrass Mine),St. Louis,zebra mussel,2022,2022,69042900
Saganaga,Cook,spiny waterflea,2004,2003,16063300
Sallie,Becker,flowering rush,2007,1989,3035900
Sallie,Becker,zebra mussel,2016,2016,3035900
Sand,Pine,Eurasian watermilfoil,2004,2003,58008100
Sand,Itasca,zebra mussel,2013,2013,31082600
Sand Point,St. Louis,spiny waterflea,2007,2007,69061700
Sarah,Hennepin,Eurasian watermilfoil,1995,1990,27019100
Sarah,Murray,zebra mussel,2018,2018,51006300
Sauk,Todd,flowering rush,2009,2009,77015000
Sauk,Todd,zebra mussel,2018,2018,77015000
Sauk River,Todd,flowering rush,2007,1997,
Saunders,Hennepin,Eurasian watermilfoil,2014,2014,27018500
Scalp,Otter Tail,zebra mussel,2021,2021,56035800
Scandinavian,Pope,Eurasian watermilfoil,2014,2013,61004100
Schmidt,Hennepin,Eurasian watermilfoil,1995,1990,27010200
Schmidt,Wright,Eurasian watermilfoil,2014,2014,86002900
Schneider,Stearns,zebra mussel,2018,connected by the Sauk River between Sauk (77-0150) and Becker (73-0156),73008200
School Section,Stearns,Eurasian watermilfoil,2018,2018,73003500
Schultz,Dakota,Eurasian watermilfoil,2000,2000,19007500
Schutz,Carver,Eurasian watermilfoil,1995,1990,10001800
Second Crow Wing,Hubbard,faucet snail,2011,2011,29008500
Sensky Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,connected water,
Serpent,Crow Wing,zebra mussel,2017,2017,18009000
Shady Oak,Hennepin,brittleleaf naiad,2021,2021,27008900
Shady Oak,Hennepin,Eurasian watermilfoil,2019,2019,27008900
Shagawa,St. Louis,spiny waterflea,2014,,69006900
Shagawa River between Shagawa Lake and Fall Lake,Multiple (St. Louis and Lake),spiny waterflea,2014,connected to Shagawa (69-0069),
Shakopee,Mille Lacs,zebra mussel,2007,connected water,48001200
Shallow Pond,Pope,zebra mussel,2012,connected to Minnewaska (61-0130),61011200
Shamineau,Morrison,Eurasian watermilfoil,2012,2012,49012700
Shell River from Upper Twin to Crow Wing River including 500 feet upstream into its tributaries ,Multiple (Hubbard and Wadena),faucet snail,2009,2009,
Shetek,Murray,zebra mussel,2022,2022,51004600
Shields,Rice,Eurasian watermilfoil,2015,2015,66005500
Signalness,Pope,zebra mussel,2016,2016,61014900
Silver,Ramsey,Eurasian watermilfoil,1995,1992,62000100
Silver,Ramsey,Eurasian watermilfoil,2021,2021,62008300
Silver,Wright,Eurasian watermilfoil,2011,2011,86014000
Silver Creek  from 500 feet upstream of Highway 11 to the Rainy River,Lake of the Woods,spiny waterflea,2007,connected water,
Skoglund Slough,Douglas,zebra mussel,2014,connected to Mary (21-0092),21008400
Skogman,Isanti,Eurasian watermilfoil,2014,2014,30002200
Skunk,Jackson,bighead carp,2012,connected water,32005900
Skunk,Jackson,silver carp,2012,connected water,32005900
Smetana,Hennepin,Eurasian watermilfoil,2020,2020,27007300
Smith,Crow Wing,zebra mussel,2021,2021,18002800
Smith,Douglas,zebra mussel,2022,2022,21001600
Snail,Ramsey,Eurasian watermilfoil,2000,2000,62007300
Snake River between Pokegama and Cross including 500 feet upstream into its tributaries,Pine,Eurasian watermilfoil,2005,2004,
Snelling,Hennepin,Eurasian watermilfoil,2006,2005,27000100
Somers,Wright,Eurasian watermilfoil,2014,2013,86023000
South Center,Chisago,Eurasian watermilfoil,2009,2008,13002700
South Coon,Anoka,Eurasian watermilfoil,2010,2010,2004800
South Fowl,Cook,spiny waterflea,2010,2010,16003400
South Lindstrom,Chisago,Eurasian watermilfoil,2010,2010,13002800
South Long,Crow Wing,faucet snail,2021,2021,18013600
South Long,Crow Wing,zebra mussel,2021,2021,18013600
South Twin,Itasca,Eurasian watermilfoil,2016,2016,31019100
South Twin,Itasca,flowering rush,2007,1995,31019100
South Twin,Mahnomen,zebra mussel,2019,2019,44001400
Southeast Anderson,Hennepin,Eurasian watermilfoil,2017,2017,27006202
Spectacle,Isanti,Eurasian watermilfoil,2007,2007,30013500
Spectacle,Isanti,zebra mussel,2019,2019,30013500
Spider,Itasca,flowering rush,2014,2014,31053800
Spider,Cass,zebra mussel,2010,connected to Gull (11-0305),11022100
Spirit,Jackson,bighead carp,2012,connected water,32002300
Spirit,Jackson,silver carp,2012,connected water,32002300
Spoon Creek between Keller and Phalen lakes,Ramsey,Eurasian watermilfoil,1999,1995,
Sprague,Rice,flowering rush,2014,2013,66004500
Spring,Scott,Eurasian watermilfoil,2021,2021,70005400
Spring,Grant,zebra mussel,2017,Downstream of Elk (26004000),26003200
Spring,Scott,zebra mussel,2022,2022,70005400
St James Pit,St. Louis,zebra mussel,2021,2021,69042800
St. Anna,Stearns,Eurasian watermilfoil,2014,2014,73018300
St. Clair,Becker,zebra mussel,2020,Downstream from Long Lake in Becker (03038300),3038200
St. Croix River,Washington,Eurasian watermilfoil,1995,1992,82000100
St. Croix River downstream of the dam at Taylors Falls ,Multiple (Chisago and Washington),bighead carp,2012,1996,
St. Croix River downstream of the dam at Taylors Falls ,Multiple (Chisago and Washington),grass carp,2015,connected to Mississippi River,
St. Croix River downstream of the dam at Taylors Falls ,Multiple (Chisago and Washington),silver carp,2012,connected water,
St. Croix River downstream of the St.Croix Boomsite Recreation Area at river mile 25.4,Washington,zebra mussel,2001,2000,
St. Louis River downstream of the Cloquet River,Multiple (Carlton and St. Louis),spiny waterflea,1995,connected water,
St. Louis River downstream of the Cloquet River,Multiple (Carlton and St. Louis),spiny waterflea,1995,connected water,
St. Louis River downstream of the Cloquet River,Multiple (Carlton and St. Louis),spiny waterflea,1995,connected water,
St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),faucet snail,2014,2014,
St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),New Zealand mud snail,2007,,
St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),round goby,1996,,
St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),ruffe,1995,,
St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),viral hemorrhagic septicemia,2010,connected to Superior (16-0001),
St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),white perch,1995,,
St. Louis River downstream of the mouth of the White Pine River in St. Louis County,Multiple (Carlton and St. Louis),zebra mussel,1995,1989,
St. Louis River downstream of the mouth of the White Pine River in St. Louis County,Multiple (Carlton and St. Louis),zebra mussel,1995,1989,
Stalker,Otter Tail,flowering rush,2018,2018,56043700
Star,Otter Tail,zebra mussel,2019,connected to West McDonald (56-0386-02),56038500
Staring,Hennepin,brittleleaf naiad,2015,2015,27007800
Staring,Hennepin,Eurasian watermilfoil,2015,2015,27007800
Steamboat,Cass,zebra mussel,2017,2017,11050400
Steiger,Carver,Eurasian watermilfoil,2002,2001,10004500
Stella,Meeker,Eurasian watermilfoil,1999,1999,47006800
Stella,Meeker,zebra mussel,2015,2015,47006800
Stocking,Wadena,faucet snail,2022,2022,80003700
Stone,Carver,Eurasian watermilfoil,1995,1991,10005600
Stoney (Stony),Douglas,zebra mussel,2011,connected to Brophy,21010100
Stowe,Douglas,zebra mussel,2017,Connected to Whiskey (21026400),21026400
Stuart,Otter Tail,zebra mussel,2022,2022,56019100
Sturgeon,Pine,Eurasian watermilfoil,2008,2008,58006700
Sucker,Ramsey,Eurasian watermilfoil,1996,1995,62002800
Sucker,Ramsey,zebra mussel,2007,2007,62002800
Sugar,Wright,Eurasian watermilfoil,1995,1990,86023300
Sugar,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),31092600
Sugar,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),31092600
Sugar,Wright,zebra mussel,2018,2018,86023300
Sunfish,Washington,Eurasian watermilfoil,2019,2018,82010700
Sunnybrook,Washington,Eurasian watermilfoil,2019,2019,82013300
Sunset,Washington,Eurasian watermilfoil,2001,2001,82015300
Sunset Pond,Dakota,Eurasian watermilfoil,2004,2002,19045100
Superior,Multiple (Cook Lake and St. Louis),Eurasian watermilfoil,2007,2006,16000100
Superior,Multiple (Cook Lake and St. Louis),faucet snail,2014,connected to St. Louis River,16000100
Superior,Multiple (Cook Lake and St. Louis),New Zealand mud snail,2007,,16000100
Superior,Multiple (Cook Lake and St. Louis),round goby,2007,,16000100
Superior,Multiple (Cook Lake St. Louis),ruffe,1995,,16000100
Superior,Multiple (Cook Lake and St. Louis),spiny waterflea,1995,1987,16000100
Superior,Multiple (Cook Lake and St. Louis),viral hemorrhagic septicemia,2010,2010,16000100
Superior,Multiple (Cook Lake and St. Louis),white perch,1995,,16000100
Superior,Multiple (Cook Lake and St. Louis),zebra mussel,1995,1989,16000100
Superior Tributaries,Multiple (Cook Lake and St. Louis),round goby,2010,2010,
Superior Tributaries,Multiple (Cook Lake and St. Louis),ruffe,2010,connected to Superior (16-0001),
Superior Tributaries,Multiple (Cook Lake and St. Louis),viral hemorrhagic septicemia,2010,connected to Superior (16-0001),
Superior Tributaries,Multiple (Cook Lake and St. Louis),white perch,2010,connected to Superior (16-0001),
Susan,Carver,brittleleaf naiad,2019,2019,10001300
Susan,Carver,Eurasian watermilfoil,2005,2004,10001300
Swan,Kandiyohi,zebra mussel,2018,connected to Norway (34-0251),34022300
Swan,Otter Tail,zebra mussel,2019,2019,56078100
Swan (located in the NW 1/4 of the NW 1/4 of S4 T117N R23W),Hennepin,Eurasian watermilfoil,1995,1993,
Swede,Carver,Eurasian watermilfoil,2008,2008,10009500
Swede's Bay (DOW 40-0092-03),Le Sueur,Eurasian watermilfoil,2015,,
Swift Ditch from 500 feet upstream of Highway 12 downstream to Lake of the Woods,Roseau,spiny waterflea,2011,connected water,
Sybil,Otter Tail,zebra mussel,2016,2016,56038700
Sylvan,Cass,zebra mussel,2020,2020,11030400
Sylvia,Stearns,Eurasian watermilfoil,2011,2011,73024900
Sylvia,Stearns,zebra mussel,2015,2015,73024900
Tanager,Hennepin,Eurasian watermilfoil,1999,1988,27014100
Tanager,Hennepin,zebra mussel,2012,connected to Minnetonka (27-0133),27014100
Ten Mile,Cass,zebra mussel,2019,2019,11041300
Ten Mile,Otter Tail,zebra mussel,2017,2017,56061300
Tetonka,Le Sueur,Eurasian watermilfoil,2016,2016,40003100
Tetonka,Le Sueur,flowering rush,2009,2008,40003100
Third Crow Wing,Hubbard,faucet snail,2018,2016,29007700
Third River downstream of Highway 33,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),
Third River downstream of Highway 33,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),
Third River Flowage,Itasca,faucet snail,2009,connected to Winnibigoshish (11-0147),
Third River Flowage,Itasca,zebra mussel,2013,connected to Winnibigoshish (11-0147),
Thole,Scott,Eurasian watermilfoil,2002,2001,70012001
Thomas,Dakota,Eurasian watermilfoil,2012,2011,19006700
Thompson,Dakota,Eurasian watermilfoil,2021,2021,19004800
Threemile Creek between Otter and Clearwater,Stearns,zebra mussel,2015,connected to Clearwater (86-0252),
Thunder,Cass,starry stonewort,2022,2022,11006200
Thunder,Cass,zebra mussel,2022,2021,11006200
Tilde,Clay,red swamp crayfish,2016,2016,14000400
Torgerson,Douglas,zebra mussel,2022,connected to Red Rock (21-0291),21031000
Town Line,Cass,Eurasian watermilfoil,2009,2009,11019000
Trout,Itasca,flowering rush,2015,2015,31021600
Trout,Cook,spiny waterflea,2013,2012,16004900
Trowbridge,Otter Tail,zebra mussel,2021,2021,56053201
Turner,Crow Wing,zebra mussel,2022,connected to West Rabbit (18-0093-02),18013500
Turtle,Ramsey,Eurasian watermilfoil,2000,2000,62006100
Turtle,Beltrami,starry stonewort,2016,2016,4015900
Turtle,Becker,zebra mussel,2021,2021,3065700
Turtle,Douglas,zebra mussel,2014,2014,21009000
Turtle,Grant,zebra mussel,2017,Downstream of Elk (26004000),26003000
Turtle River,Beltrami,starry stonewort,2022,2022,4011100
Tustin,Le Sueur,Eurasian watermilfoil,2022,2022,40006100
Twin,Hennepin,Eurasian watermilfoil,2007,2006,27004200
Twin Lakes,Dakota,Eurasian watermilfoil,1997,1996,19002800
Union,Polk,Eurasian watermilfoil,2007,2007,60021700
Unnamed,Dakota,Eurasian watermilfoil,2016,2016,19003500
Unnamed,Hennepin,Eurasian watermilfoil,2019,2018,27067900
Unnamed,Becker,zebra mussel,2019,connected to Upper Cormorant (03-0588),3075200
Unnamed,Becker,zebra mussel,2020,connected to Long (3-0383),3116200
Unnamed,Crow Wing,zebra mussel,2006,connected to Mississippi River,18023500
Unnamed,Douglas,zebra mussel,2014,connected to Mary (21-0092),21047900
Unnamed,Douglas,zebra mussel,2014,connected to Mary (21-0092),21044000
Unnamed,Douglas,zebra mussel,2022,connected to Red Rock (21-0291),21026700
Unnamed,Douglas,zebra mussel,2022,connected to Red Rock (21-0291),21032100
Unnamed,Douglas,zebra mussel,2022,connected to Henry (21-0051),21042500
Unnamed,Multiple (Stearns and Wright),zebra mussel,2015,connected to Clearwater (86-0252),73031200
Unnamed,Otter Tail,zebra mussel,2021,Connected to Clitherall (56-0238),56028400
Unnamed,Otter Tail,zebra mussel,2019,connected to Swan (56-0781),56060500
Unnamed,Otter Tail,zebra mussel,2019,connected to Swan (56-0781),56111800
Unnamed,Otter Tail,zebra mussel,2018,connected to Molly Stark and Annie Battle,56112600
Unnamed,Wright,zebra mussel,2023,connected to Buffalo (86-0090),86036300
Unnamed (Black Tern Pond),Ramsey,Eurasian watermilfoil,2016,2016,62012900
Unnamed (Deer),Wright,zebra mussel,2023,connected to Buffalo (86-0090),86038600
Unnamed (Grace),Carver,Eurasian watermilfoil,2016,2016,10021800
Unnamed (Hay),Dakota,flowering rush,2018,2018,19006200
Unnamed (Lily Pond),Dakota,Eurasian watermilfoil,2016,2016,19018000
Unnamed (Mill Pond),Otter Tail,zebra mussel,2012,2017,56092000
Unnamed (Nick's Marsh),Otter Tail,zebra mussel,2019,connected to Swan (56-0781),56058800
Unnamed (Schwanz),Dakota,Eurasian watermilfoil,2022,2022,19006300
Unnamed creek between Anderson?s Marsh and Pearl,Jackson,bighead carp,2012,connected water,
Unnamed creek between Anderson?s Marsh and Pearl,Jackson,silver carp,2012,connected water,
Unnamed creek between Crooked Lake and Houghtaling Creek,Lake,zebra mussel,2014,connected to Crooked (38-0024),
Unnamed creek between Pearl and Loon ,Jackson,bighead carp,2012,connected water,
Unnamed creek between Pearl and Loon ,Jackson,silver carp,2012,connected water,
Unnamed creek between Rush and Anderson?s Marsh,Jackson,bighead carp,2012,connected water,
Unnamed creek between Rush and Anderson?s Marsh,Jackson,silver carp,2012,connected water,
Unnamed gravel pit (located in S 1/2 of S14 T41N R21W),Pine,Eurasian watermilfoil,2005,2004,
Unnamed gravel pit (located in S16 T108 R20W),Steele,Eurasian watermilfoil,2012,2011,
Unnamed lake,Jackson,bighead carp,2012,connected water,32006100
Unnamed lake,Jackson,bighead carp,2012,connected water,32009300
Unnamed lake,Jackson,bighead carp,2012,connected water,32006200
Unnamed Lake,Dakota,flowering rush,2007,,19006400
Unnamed lake,Jackson,silver carp,2012,connected water,32009300
Unnamed lake,Jackson,silver carp,2012,connected water,32006100
Unnamed lake,Jackson,silver carp,2012,connected water,32006200
Unnamed Lake in Springbrook Nature Center,Anoka,Eurasian watermilfoil,1995,1992,2068800
Unnamed lake on Little Sioux River,Jackson,bighead carp,2012,connected water,32005500
Unnamed lake on Little Sioux River,Jackson,bighead carp,2012,connected water,32009600
Unnamed lake on Little Sioux River,Jackson,silver carp,2012,connected water,32009600
Unnamed lake on Little Sioux River,Jackson,silver carp,2012,connected water,32005500
Unnamed pond,Pope,zebra mussel,2012,connected to Minnewaska (61-0130),61051100
Unnamed pond (Valley Pond) in Valley Park,Dakota,Eurasian watermilfoil,2006,2005,19034800
Unnamed pond and channel in Sec 35 T135 R 29W,Crow Wing,zebra mussel,2010,connected to Gull (11-0305),
Unnamed pond in the NW 1/4 of S14 T117 R22,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27072100
Unnamed pond located in S14 and S15 T142 R39W,Becker,faucet snail,2012,2012,3023000
Unnamed pond located in S15 T142N R39W,Becker,faucet snail,2012,2012,3023100
Unnamed pond located in SE ¼ of SW ¼ of S14 T142 R39W,Becker,faucet snail,2013,2012,
Unnamed pond located in SW ¼ of SE ¼ of S15 T142 R39W,Becker,faucet snail,2013,2012,
Unnamed pond located in the NE ¼ of NW ¼ of S22 T142N R39W,Becker,faucet snail,2012,2012,
Unnamed pond located in the NE ¼ of SE ¼ of S15 T142N R39W,Becker,faucet snail,2012,2012,
