WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested,Lat,Long
Minnehaha Creek between Minnetonka and Nokomis,Hennepin,zebra mussel,2010,-93.47,45.02
Minnehaha Marsh,Hennepin,zebra mussel,2010,-93.47,45.02
Minnesota River - Granite Falls,Yellow Medicine,zebra mussel,2016,-95.91,44.73
Minnetonka,Hennepin,Eurasian watermilfoil,1995,-93.47,45.02
Minnetonka,Hennepin,flowering rush,2009,-93.47,45.02
Minnetonka,Hennepin,zebra mussel,2010,-93.47,45.02
Minnewashta,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Minnewashta,Carver,zebra mussel,2016,-93.77,44.81
Minnewaska,Pope,Eurasian watermilfoil,1998,-95.44,45.6
Minnewaska,Pope,starry stonewort,2017,-95.44,45.6
Minnewaska,Pope,zebra mussel,2012,-95.44,45.6
Minnie-Belle,Meeker,Eurasian watermilfoil,2010,-94.51,45.11
Minnie-Belle,Meeker,zebra mussel,2020,-94.51,45.11
Mississippi River -  U.S. Lock & Dam #3 Pool (main channel),Goodhue,flowering rush,2021,-92.64,44.45
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,bighead carp,2012,-91.78,44.02
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,Eurasian watermilfoil,2007,-91.78,44.02
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,faucet snail,2013,-91.78,44.02
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,grass carp,2015,-91.78,44.02
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,silver carp,2012,-91.78,44.02
Mississippi River -  U.S. Lock & Dam #7 Pool,Winona,zebra mussel,2007,-91.78,44.02
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,bighead carp,2012,-91.47,43.68
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,Eurasian watermilfoil,2007,-91.47,43.68
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,faucet snail,2013,-91.47,43.68
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,grass carp,2015,-91.47,43.68
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,silver carp,2012,-91.47,43.68
Mississippi River -  U.S. Lock & Dam #8 Pool,Houston,zebra mussel,2007,-91.47,43.68
Mississippi River -  U.S. Lock & Dam #9 Pool,Houston,flowering rush,2021,-91.47,43.68
Mississippi River - Blackbird Slough,Winona,bighead carp,2012,-91.78,44.02
Mississippi River - Blackbird Slough,Winona,Eurasian watermilfoil,2007,-91.78,44.02
Mississippi River - Blackbird Slough,Winona,grass carp,2015,-91.78,44.02
Mississippi River - Blackbird Slough,Winona,silver carp,2012,-91.78,44.02
Mississippi River - Blackbird Slough,Winona,zebra mussel,2007,-91.78,44.02
Mississippi River - Blandin Reservoir,Itasca,zebra mussel,2018,-93.73,47.46
Mississippi River - Stump,Beltrami,zebra mussel,2018,-95.01,47.98
Mississippi River - Sturgeon,Goodhue,bighead carp,2012,-92.64,44.45
Mississippi River - Sturgeon,Goodhue,Eurasian watermilfoil,2007,-92.64,44.45
Mississippi River - Sturgeon,Goodhue,grass carp,2015,-92.64,44.45
Mississippi River - Sturgeon,Goodhue,silver carp,2012,-92.64,44.45
Mississippi River - Sturgeon,Goodhue,zebra mussel,2007,-92.64,44.45
Mississippi River - Twin,Goodhue,bighead carp,2012,-92.64,44.45
