,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
938,Mississippi River Pool 6,Multiple,Eurasian watermilfoil,1995
939,Mississippi River Pool 6,Multiple,Eurasian watermilfoil,1995
940,Mississippi River Pool 6,Multiple,grass carp,2015
941,Mississippi River Pool 6,Multiple,grass carp,2015
942,Mississippi River Pool 6,Multiple,grass carp,2015
943,Mississippi River Pool 6,Multiple,grass carp,2015
944,Mississippi River Pool 6,Multiple,grass carp,2015
945,Mississippi River Pool 6,Multiple,silver carp,2012
946,Mississippi River Pool 6,Multiple,silver carp,2012
947,Mississippi River Pool 6,Multiple,silver carp,2012
948,Mississippi River Pool 6,Multiple,silver carp,2012
949,Mississippi River Pool 6,Multiple,silver carp,2012
950,Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
951,Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
952,Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
953,Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
954,Mississippi River Pool 6 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
955,Mississippi River Pool 7,Multiple,bighead carp,2012
956,Mississippi River Pool 7,Multiple,bighead carp,2012
957,Mississippi River Pool 7,Multiple,Eurasian watermilfoil,1995
958,Mississippi River Pool 7,Multiple,Eurasian watermilfoil,1995
959,Mississippi River Pool 7,Multiple,faucet snail,2013
960,Mississippi River Pool 7,Multiple,faucet snail,2013
961,Mississippi River Pool 7,Multiple,grass carp,2015
962,Mississippi River Pool 7,Multiple,grass carp,2015
963,Mississippi River Pool 7,Multiple,silver carp,2012
964,Mississippi River Pool 7,Multiple,silver carp,2012
965,Mississippi River Pool 7 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
966,Mississippi River Pool 7 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
967,Mississippi River Pool 8,Multiple,bighead carp,2012
968,Mississippi River Pool 8,Multiple,bighead carp,2012
969,Mississippi River Pool 8,Multiple,bighead carp,2012
970,Mississippi River Pool 8,Multiple,bighead carp,2012
971,Mississippi River Pool 8,Multiple,bighead carp,2012
972,Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995
973,Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995
974,Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995
975,Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995
976,Mississippi River Pool 8,Multiple,Eurasian watermilfoil,1995
977,Mississippi River Pool 8,Multiple,faucet snail,2013
978,Mississippi River Pool 8,Multiple,faucet snail,2013
979,Mississippi River Pool 8,Multiple,faucet snail,2013
980,Mississippi River Pool 8,Multiple,faucet snail,2013
981,Mississippi River Pool 8,Multiple,faucet snail,2013
982,Mississippi River Pool 8,Multiple,grass carp,2015
983,Mississippi River Pool 8,Multiple,grass carp,2015
984,Mississippi River Pool 8,Multiple,grass carp,2015
985,Mississippi River Pool 8,Multiple,grass carp,2015
986,Mississippi River Pool 8,Multiple,grass carp,2015
987,Mississippi River Pool 8,Multiple,silver carp,2012
988,Mississippi River Pool 8,Multiple,silver carp,2012
989,Mississippi River Pool 8,Multiple,silver carp,2012
990,Mississippi River Pool 8,Multiple,silver carp,2012
991,Mississippi River Pool 8,Multiple,silver carp,2012
992,Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
993,Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
994,Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
995,Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
996,Mississippi River Pool 8 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
997,Mississippi River Pool 9,Multiple,bighead carp,2012
998,Mississippi River Pool 9,Multiple,bighead carp,2012
999,Mississippi River Pool 9,Multiple,bighead carp,2012
1000,Mississippi River Pool 9,Multiple,bighead carp,2012
1001,Mississippi River Pool 9,Multiple,bighead carp,2012
1002,Mississippi River Pool 9,Multiple,bighead carp,2012
1003,Mississippi River Pool 9,Multiple,bighead carp,2012
1004,Mississippi River Pool 9,Multiple,bighead carp,2012
1005,Mississippi River Pool 9,Multiple,bighead carp,2012
1006,Mississippi River Pool 9,Multiple,bighead carp,2012
1007,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1008,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1009,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1010,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1011,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1012,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1013,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1014,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1015,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1016,Mississippi River Pool 9,Multiple,Eurasian watermilfoil,1995
1017,Mississippi River Pool 9,Multiple,faucet snail,2013
1018,Mississippi River Pool 9,Multiple,faucet snail,2013
1019,Mississippi River Pool 9,Multiple,faucet snail,2013
1020,Mississippi River Pool 9,Multiple,faucet snail,2013
1021,Mississippi River Pool 9,Multiple,faucet snail,2013
1022,Mississippi River Pool 9,Multiple,faucet snail,2013
1023,Mississippi River Pool 9,Multiple,faucet snail,2013
1024,Mississippi River Pool 9,Multiple,faucet snail,2013
1025,Mississippi River Pool 9,Multiple,faucet snail,2013
1026,Mississippi River Pool 9,Multiple,faucet snail,2013
1027,Mississippi River Pool 9,Multiple,grass carp,2015
1028,Mississippi River Pool 9,Multiple,grass carp,2015
1029,Mississippi River Pool 9,Multiple,grass carp,2015
1030,Mississippi River Pool 9,Multiple,grass carp,2015
1031,Mississippi River Pool 9,Multiple,grass carp,2015
1032,Mississippi River Pool 9,Multiple,grass carp,2015
1033,Mississippi River Pool 9,Multiple,grass carp,2015
1034,Mississippi River Pool 9,Multiple,grass carp,2015
1035,Mississippi River Pool 9,Multiple,grass carp,2015
1036,Mississippi River Pool 9,Multiple,grass carp,2015
1037,Mississippi River Pool 9,Multiple,silver carp,2012
1038,Mississippi River Pool 9,Multiple,silver carp,2012
1039,Mississippi River Pool 9,Multiple,silver carp,2012
1040,Mississippi River Pool 9,Multiple,silver carp,2012
1041,Mississippi River Pool 9,Multiple,silver carp,2012
1042,Mississippi River Pool 9,Multiple,silver carp,2012
1043,Mississippi River Pool 9,Multiple,silver carp,2012
1044,Mississippi River Pool 9,Multiple,silver carp,2012
1045,Mississippi River Pool 9,Multiple,silver carp,2012
1046,Mississippi River Pool 9,Multiple,silver carp,2012
1047,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1048,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1049,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1050,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1051,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1052,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1053,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1054,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1055,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,1995
1056,Mississippi River Pool 9 including 500 feet upstream into its tributaries,Multiple,zebra mussel,2007
1057,Mitchell,Hennepin,Eurasian watermilfoil,2004
1058,Mitchell,Sherburne,Eurasian watermilfoil,2008
1059,Mitchell,Sherburne,zebra mussel,2020
1060,Molly Stark,Otter Tail,zebra mussel,2018
1061,Moose,Beltrami,starry stonewort,2016
1062,Moose,Wright,zebra mussel,2021
1063,Moses,Douglas,zebra mussel,2020
1064,Mound,Todd,zebra mussel,2018
1065,Mud,Hennepin,Eurasian watermilfoil,2020
1066,Mud,Washington,Eurasian watermilfoil,2007
1067,Mud,Otter Tail,zebra mussel,2020
1068,Mud,St. Louis,zebra mussel,2009
1069,Mud,Wright,zebra mussel,2019
1070,Murphy,Scott,Eurasian watermilfoil,2020
1071,Muskrat,Becker,flowering rush,2007
1072,Muskrat,Becker,zebra mussel,2017
1073,Namakan,St. Louis,spiny waterflea,2007
1074,Nelson,Becker,zebra mussel,2019
1075,Nest,Kandiyohi,zebra mussel,2017
1076,Newton,Lake,spiny waterflea,2014
1077,Niccum?s Pond (located in the NW 1/4 of the SW 1/4 of S10 T117N R24W),Hennepin,Eurasian watermilfoil,1995
1078,Nisswa,Crow Wing,zebra mussel,2010
1079,Nokomis,Hennepin,Eurasian watermilfoil,1995
1080,Nokomis,Hennepin,zebra mussel,2010
1081,Normandale,Hennepin,Eurasian watermilfoil,2019
1082,North Center,Chisago,Eurasian watermilfoil,2008
1083,North Fowl,Cook,spiny waterflea,2010
1084,North Lindstrom,Chisago,Eurasian watermilfoil,2006
1085,North Long,Crow Wing,zebra mussel,2014
1086,North Oscar,Douglas,Eurasian watermilfoil,2013
1087,North Pomme de Terre,Stevens,zebra mussel,2018
1088,North Star,Itasca,zebra mussel,2017
1089,North Ten Mile,Otter Tail,zebra mussel,2017
1090,North Twin,Itasca,Eurasian watermilfoil,2000
1091,North Twin,Wright,Eurasian watermilfoil,2009
1092,North Twin,Itasca,flowering rush,2007
1093,North Twin,Mahnomen,zebra mussel,2022
1094,North Union ,Douglas,zebra mussel,2011
1095,Norway,Kandiyohi,Eurasian watermilfoil,2002
1096,Norway,Kandiyohi,zebra mussel,2018
1097,O?Dowd,Scott,Eurasian watermilfoil,2002
1098,Oak,Carver,Eurasian watermilfoil,2020
1099,O'Brien,Dakota,Eurasian watermilfoil,2016
1100,Ogechie,Mille Lacs,zebra mussel,2007
1101,Olson,Washington,Eurasian watermilfoil,2009
1102,Onamia,Mille Lacs,zebra mussel,2007
1103,Orchard,Dakota,Eurasian watermilfoil,2017
1104,Orono,Sherburne,Eurasian watermilfoil,2020
1105,Orwell Reservoir,Otter Tail,zebra mussel,2013
1106,Osakis,Todd and Douglas,zebra mussel,2016
1107,Oscar ,Douglas,Eurasian watermilfoil,1995
1108,Oscar,Douglas,zebra mussel,2019
1109,Ossawinnamakee,Crow Wing,Eurasian watermilfoil,2004
1110,Ossawinnamakee,Crow Wing,zebra mussel,2004
1111,Otter,Anoka,Eurasian watermilfoil,1995
1112,Otter ,Stearns,Eurasian watermilfoil,2011
1113,Otter,Stearns,zebra mussel,2015
1114,Otter Tail,Otter Tail,zebra mussel,2016
1115,Otter Tail River (Red River),Otter Tail,zebra mussel,2017
1116,Otter Tail River from 500 feet upstream of the confluence of the Pelican River downstream to the Bois De Sioux River including 500 feet upstream into its tributaries ,Multiple (Otter Tail and Wilkin),zebra mussel,2013
1117,Outlet Creek from Minnewaska to Emily,Pope,zebra mussel,2012
1118,Owasso,Ramsey,Eurasian watermilfoil,2000
1119,Owasso,Ramsey,zebra mussel,2021
1120,Park,Murray,zebra mussel,2022
1121,Parker?s,Hennepin,Eurasian watermilfoil,1995
1122,Parley,Carver,Eurasian watermilfoil,2001
1123,Paul,Otter Tail,zebra mussel,2013
1124,Pearl,Jackson,bighead carp,2012
1125,Pearl,Jackson,silver carp,2012
1126,Peavey,Hennepin,Eurasian watermilfoil,1999
1127,Peavey,Hennepin,zebra mussel,2012
1128,Pelican,Wright,Eurasian watermilfoil,2010
1129,Pelican,Crow Wing,zebra mussel,2012
1130,Pelican,Otter Tail,zebra mussel,2009
1131,Pelican,Pope,zebra mussel,2019
1132,Pelican Brook from the source at Ossawinnamakee to the Pine River,Crow Wing,zebra mussel,2007
1133,Pelican River from Detroit to Muskrat,Becker,flowering rush,2007
1134,Pelican River from Bucks Mill Drive downstream to the Otter Tail River including 500 feet upstream into its tributaries,Multiple (Becker and Otter Tail counties),zebra mussel,2009
1135,Peltier,Anoka,Eurasian watermilfoil,2000
1136,Pennington Mine,Crow Wing,zebra mussel,2017
1137,Pepin,Multiple (Goodhue Wabasha),bighead carp,2012
1138,Pepin,Multiple (Goodhue and Wabasha),Eurasian watermilfoil,2012
1139,Pepin,Multiple (Goodhue Wabasha),silver carp,2012
1140,Pepin,Multiple (Goodhue Wabasha),zebra mussel,2012
1141,Perkins,Stevens,zebra mussel,2018
1142,Phalen,Ramsey,Eurasian watermilfoil,1997
1143,Pickerel,Becker,flowering rush,2015
1144,Pickerel,Becker,zebra mussel,2014
1145,Pickerel,Crow Wing,zebra mussel,2006
1146,Pickerel,Ottertail,zebra mussel,2020
1147,Pierson,Carver,Eurasian watermilfoil,1995
1148,Pierson,Carver,zebra mussel,2020
1149,Pig,Crow Wing,zebra mussel,2014
1150,Pigeon River downstream of South Fowl,Cook,spiny waterflea,2010
1151,Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,faucet snail,2009
1152,Pigeon River from the Pigeon Dam Lake dam to Winnibigoshish,Itasca,zebra mussel,2013
1153,Pike,Scott,Eurasian watermilfoil,2014
1154,Pike,Scott,zebra mussel,2021
1155,Pike,St. Louis,zebra mussel,2009
1156,Pike Bay,Cass,zebra mussel,2014
1157,Pike River from Pike River Dam at CSAH 77 near Peyla to Vermilion  and Vermilion River from Vermilion to Crane,St. Louis,spiny waterflea,2015
1158,Pimushe,Beltrami,starry stonewort,2021
1159,Pimushe,Beltrami,zebra mussel,2019
1160,Pine,Crow Wing,Eurasian watermilfoil,2017
1161,Pine,Cook,spiny waterflea,2005
1162,Pine Mountain,Cass,zebra mussel,2021
1163,Pine River,Crow Wing,Eurasian watermilfoil,2017
1164,Pine River from the base of Cross Lake Dam to the confluence with Pelican Brook,Crow Wing,zebra mussel,2014
1165,Pine River from 500 feet upstream of the mouth of Pelican Brook to the Mississippi River including 500 feet upstream into its tributaries,Crow Wing,zebra mussel,2006
1166,Pine Tree,Washington,Eurasian watermilfoil,2021
1167,Pioneer,Chisago,Eurasian watermilfoil,2022
1168,Pleasant,Ramsey,Eurasian watermilfoil,2010
1169,Pleasant,Wright,Eurasian watermilfoil,2017
1170,Pleasant,Wright,starry stonewort,2018
1171,Pleasant,Ramsey,zebra mussel,2007
1172,Pleasant,Wright,zebra mussel,2020
1173,Pletz Marsh,Jackson,bighead carp,2012
1174,Pletz Marsh,Jackson,silver carp,2012
1175,Plum,Jackson,bighead carp,2012
1176,Plum,Jackson,silver carp,2012
1177,Pocket,Douglas,zebra mussel,2016
1178,Pokegama,Pine,Eurasian watermilfoil,2006
1179,Pokegama,Itasca,zebra mussel,2019
1180,Pomme de Terre,Grant,zebra mussel,2018
1181,Pomme de Terre River,Multiple (Otter Tail Grant and Stevens),zebra mussel,2018
1182,Pond Six,Ramsey,Eurasian watermilfoil,2002
1183,Pond Three,Ramsey,Eurasian watermilfoil,2006
1184,Portage,Crow Wing,Eurasian watermilfoil,2019
1185,Portage,Itasca,zebra mussel,2013
1186,Portage (in Lebanon Hills Regional Park),Dakota,Eurasian watermilfoil,2016
1187,Powderhorn,Hennepin,Eurasian watermilfoil,2008
1188,Powers,Washington,Eurasian watermilfoil,1998
1189,Prairie,Otter Tail,zebra mussel,2009
1190,Pug Hole,Beltrami,zebra mussel,2014
1191,Pulaski,Wright,Eurasian watermilfoil,1995
1192,Pulaski,Wright,zebra mussel,2022
1193,Quarry,Dakota,Eurasian watermilfoil,2007
1194,Quarry,Scott,Eurasian watermilfoil,2016
1195,Rabbit (East Portion),Crow Wing,zebra mussel,2022
1196,Rabbit (West Portion),Crow Wing,zebra mussel,2022
1197,Rabbits,Itasca,faucet snail,2009
1198,Rabbits,Itasca,zebra mussel,2013
1199,Rabour,Chisago,Eurasian watermilfoil,2021
1200,Rainy,St. Louis,spiny waterflea,2007
1201,Rainy,St. Louis,zebra mussel,2021
1202,Rainy River from Rainy Lake to Lake of the Woods,Multiple (Koochiching Lake of the Woods),spiny waterflea,2007
1203,Ramsey,Wright,Eurasian watermilfoil,2004
1204,Rapid River from 500 feet upstream of Highway 11 to Clementson Bay of the Rainy River,Lake of the Woods,spiny waterflea,2007
1205,Raven,Itasca,faucet snail,2009
1206,Raven,Itasca,zebra mussel,2013
1207,Ravens Flowage,Itasca,zebra mussel,2013
1208,Ravens Flowage (includes unnamed creek from S3 T146N R29W to S11 T146N R29W and Raven Creek downstream of Raven and Rabbit lakes to Lake Winnibigoshish),Itasca,faucet snail,2009
1209,Ray's,Le Sueur,Eurasian watermilfoil,2009
1210,Rebecca,Hennepin,Eurasian watermilfoil,1995
1211,Rebecca,Dakota,zebra mussel,2009
1212,Red (Upper Red),Beltrami,starry stonewort,2016
1213,Red (Upper Red),Beltrami,zebra mussel,2019
1214,Red River,Multiple (Clay Kittson Marshall Norman Polk and Wilkin),zebra mussel,2015
1215,Red Rock,Douglas,zebra mussel,2022
1216,Redick Swamp,Douglas,zebra mussel,2017
1217,Reed,Otter Tail,zebra mussel,2018
1218,Reeds,Waseca,Eurasian watermilfoil,2014
1219,Reitz,Carver,Eurasian watermilfoil,2008
1220,Reno,Pope,zebra mussel,2014
1221,Rice,Hennepin,Eurasian watermilfoil,1997
1222,Rice,Stearns,starry stonewort,2016
1223,Rice,Crow Wing,zebra mussel,2006
1224,Rice,Itasca,zebra mussel,2013
1225,Riley,Carver,Eurasian watermilfoil,1995
1226,Riley,Carver,zebra mussel,2018
1227,Ripley,Meeker,Eurasian watermilfoil,2004
1228,Ripley,Meeker,Eurasian watermilfoil,2004
1229,Ripple River between Bay and Tame Fish,Crow Wing,Eurasian watermilfoil,2000
1230,Rock,Wright,Eurasian watermilfoil,1995
1231,Roe Mine,Crow Wing,zebra mussel,2021
1232,Roosevelt,Cass and Crow Wing,Eurasian watermilfoil,2016
1233,Rose,Otter Tail,zebra mussel,2011
1234,Rossier,Stearns,zebra mussel,2014
1235,Round,Jackson,bighead carp,2012
1236,Round,Hennepin,brittleleaf naiad,2010
1237,Round,Douglas,Eurasian watermilfoil,2014
1238,Round,Hennepin,Eurasian watermilfoil,1996
1239,Round,Ramsey,Eurasian watermilfoil,1997
1240,Round,Wright,Eurasian watermilfoil,2009
1241,Round,Jackson,silver carp,2012
1242,Round,Aitkin and Crow Wing,zebra mussel,2016
1243,Round,Crow Wing,zebra mussel,2010
1244,Round,Grant,zebra mussel,2017
1245,Round,Otter Tail,zebra mussel,2019
1246,Round,Otter Tail,zebra mussel,2018
1247,Roy,Crow Wing,zebra mussel,2010
1248,Royal,Cook,spiny waterflea,2010
1249,Royal River between Little John and North Fowls,Cook,spiny waterflea,2010
1250,Rum River including 500 feet upstream into its tributaries ,Multiple (Anoka Isanti Mille Lacs and Sherburne),zebra mussel,2007
1251,Rum River including 500 feet upstream into its tributaries,Multiple (Anoka Isanti Mille Lacs and Sherburne),zebra mussel,2007
1252,Rusch,Otter Tail,zebra mussel,2013
1253,Rush,Jackson,bighead carp,2012
1254,Rush,Jackson,bighead carp,2012
1255,Rush,Chisago,Eurasian watermilfoil,1995
1256,Rush,Chisago,Eurasian watermilfoil,1995
1257,Rush,Sherburne,Eurasian watermilfoil,2014
1258,Rush,Jackson,silver carp,2012
1259,Rush,Jackson,silver carp,2012
1260,Rush,Otter Tail,zebra mussel,2017
1261,Rush-Hen,Crow Wing,zebra mussel,2014
1262,Ruth,Crow Wing,Eurasian watermilfoil,1997
1263,Ruth,Crow Wing,zebra mussel,2015
1264,Sabin (Embarrass Mine),St. Louis,zebra mussel,2022
1265,Saganaga,Cook,spiny waterflea,2004
1266,Sallie,Becker,flowering rush,2007
1267,Sallie,Becker,zebra mussel,2016
1268,Sand,Pine,Eurasian watermilfoil,2004
1269,Sand,Itasca,zebra mussel,2013
1270,Sand Point,St. Louis,spiny waterflea,2007
1271,Sarah,Hennepin,Eurasian watermilfoil,1995
1272,Sarah,Murray,zebra mussel,2018
1273,Sauk,Todd,flowering rush,2009
1274,Sauk,Todd,zebra mussel,2018
1275,Sauk River,Todd,flowering rush,2007
1276,Saunders,Hennepin,Eurasian watermilfoil,2014
1277,Scalp,Otter Tail,zebra mussel,2021
1278,Scandinavian,Pope,Eurasian watermilfoil,2014
1279,Schmidt,Hennepin,Eurasian watermilfoil,1995
1280,Schmidt,Wright,Eurasian watermilfoil,2014
1281,Schneider,Stearns,zebra mussel,2018
1282,School Section,Stearns,Eurasian watermilfoil,2018
1283,Schultz,Dakota,Eurasian watermilfoil,2000
1284,Schutz,Carver,Eurasian watermilfoil,1995
1285,Second Crow Wing,Hubbard,faucet snail,2011
1286,Sensky Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007
1287,Serpent,Crow Wing,zebra mussel,2017
1288,Shady Oak,Hennepin,brittleleaf naiad,2021
1289,Shady Oak,Hennepin,Eurasian watermilfoil,2019
1290,Shagawa,St. Louis,spiny waterflea,2014
1291,Shagawa River between Shagawa Lake and Fall Lake,Multiple (St. Louis and Lake),spiny waterflea,2014
1292,Shakopee,Mille Lacs,zebra mussel,2007
1293,Shallow Pond,Pope,zebra mussel,2012
1294,Shamineau,Morrison,Eurasian watermilfoil,2012
1295,Shell River from Upper Twin to Crow Wing River including 500 feet upstream into its tributaries ,Multiple (Hubbard and Wadena),faucet snail,2009
1296,Shetek,Murray,zebra mussel,2022
1297,Shields,Rice,Eurasian watermilfoil,2015
1298,Signalness,Pope,zebra mussel,2016
1299,Silver,Ramsey,Eurasian watermilfoil,1995
1300,Silver,Ramsey,Eurasian watermilfoil,2021
1301,Silver,Wright,Eurasian watermilfoil,2011
1302,Silver Creek  from 500 feet upstream of Highway 11 to the Rainy River,Lake of the Woods,spiny waterflea,2007
1303,Skoglund Slough,Douglas,zebra mussel,2014
1304,Skogman,Isanti,Eurasian watermilfoil,2014
1305,Skunk,Jackson,bighead carp,2012
1306,Skunk,Jackson,silver carp,2012
1307,Smetana,Hennepin,Eurasian watermilfoil,2020
1308,Smith,Crow Wing,zebra mussel,2021
1309,Smith,Douglas,zebra mussel,2022
1310,Snail,Ramsey,Eurasian watermilfoil,2000
1311,Snake River between Pokegama and Cross including 500 feet upstream into its tributaries,Pine,Eurasian watermilfoil,2005
1312,Snelling,Hennepin,Eurasian watermilfoil,2006
1313,Somers,Wright,Eurasian watermilfoil,2014
1314,South Center,Chisago,Eurasian watermilfoil,2009
1315,South Coon,Anoka,Eurasian watermilfoil,2010
1316,South Fowl,Cook,spiny waterflea,2010
1317,South Lindstrom,Chisago,Eurasian watermilfoil,2010
1318,South Long,Crow Wing,faucet snail,2021
1319,South Long,Crow Wing,zebra mussel,2021
1320,South Twin,Itasca,Eurasian watermilfoil,2016
1321,South Twin,Itasca,flowering rush,2007
1322,South Twin,Mahnomen,zebra mussel,2019
1323,Southeast Anderson,Hennepin,Eurasian watermilfoil,2017
1324,Spectacle,Isanti,Eurasian watermilfoil,2007
1325,Spectacle,Isanti,zebra mussel,2019
1326,Spider,Itasca,flowering rush,2014
1327,Spider,Cass,zebra mussel,2010
1328,Spirit,Jackson,bighead carp,2012
1329,Spirit,Jackson,silver carp,2012
1330,Spoon Creek between Keller and Phalen lakes,Ramsey,Eurasian watermilfoil,1999
1331,Sprague,Rice,flowering rush,2014
1332,Spring,Scott,Eurasian watermilfoil,2021
1333,Spring,Grant,zebra mussel,2017
1334,Spring,Scott,zebra mussel,2022
1335,St James Pit,St. Louis,zebra mussel,2021
1336,St. Anna,Stearns,Eurasian watermilfoil,2014
1337,St. Clair,Becker,zebra mussel,2020
1338,St. Croix River,Washington,Eurasian watermilfoil,1995
1339,St. Croix River downstream of the dam at Taylors Falls ,Multiple (Chisago and Washington),bighead carp,2012
1340,St. Croix River downstream of the dam at Taylors Falls ,Multiple (Chisago and Washington),grass carp,2015
1341,St. Croix River downstream of the dam at Taylors Falls ,Multiple (Chisago and Washington),silver carp,2012
1342,St. Croix River downstream of the St.Croix Boomsite Recreation Area at river mile 25.4,Washington,zebra mussel,2001
1343,St. Louis River downstream of the Cloquet River,Multiple (Carlton and St. Louis),spiny waterflea,1995
1344,St. Louis River downstream of the Cloquet River,Multiple (Carlton and St. Louis),spiny waterflea,1995
1345,St. Louis River downstream of the Cloquet River,Multiple (Carlton and St. Louis),spiny waterflea,1995
1346,St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),faucet snail,2014
1347,St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),New Zealand mud snail,2007
1348,St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),round goby,1996
1349,St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),ruffe,1995
1350,St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),viral hemorrhagic septicemia,2010
1351,St. Louis River downstream of the Fond du Lac dam,Multiple (Carlton and St. Louis),white perch,1995
1352,St. Louis River downstream of the mouth of the White Pine River in St. Louis County,Multiple (Carlton and St. Louis),zebra mussel,1995
1353,St. Louis River downstream of the mouth of the White Pine River in St. Louis County,Multiple (Carlton and St. Louis),zebra mussel,1995
1354,Stalker,Otter Tail,flowering rush,2018
1355,Star,Otter Tail,zebra mussel,2019
1356,Staring,Hennepin,brittleleaf naiad,2015
1357,Staring,Hennepin,Eurasian watermilfoil,2015
1358,Steamboat,Cass,zebra mussel,2017
1359,Steiger,Carver,Eurasian watermilfoil,2002
1360,Stella,Meeker,Eurasian watermilfoil,1999
1361,Stella,Meeker,zebra mussel,2015
1362,Stocking,Wadena,faucet snail,2022
1363,Stone,Carver,Eurasian watermilfoil,1995
1364,Stoney (Stony),Douglas,zebra mussel,2011
1365,Stowe,Douglas,zebra mussel,2017
1366,Stuart,Otter Tail,zebra mussel,2022
1367,Sturgeon,Pine,Eurasian watermilfoil,2008
1368,Sucker,Ramsey,Eurasian watermilfoil,1996
1369,Sucker,Ramsey,zebra mussel,2007
1370,Sugar,Wright,Eurasian watermilfoil,1995
1371,Sugar,Itasca,faucet snail,2009
1372,Sugar,Itasca,zebra mussel,2013
1373,Sugar,Wright,zebra mussel,2018
1374,Sunfish,Washington,Eurasian watermilfoil,2019
1375,Sunnybrook,Washington,Eurasian watermilfoil,2019
1376,Sunset,Washington,Eurasian watermilfoil,2001
1377,Sunset Pond,Dakota,Eurasian watermilfoil,2004
1378,Superior,Multiple (Cook Lake and St. Louis),Eurasian watermilfoil,2007
1379,Superior,Multiple (Cook Lake and St. Louis),faucet snail,2014
1380,Superior,Multiple (Cook Lake and St. Louis),New Zealand mud snail,2007
1381,Superior,Multiple (Cook Lake and St. Louis),round goby,2007
1382,Superior,Multiple (Cook Lake St. Louis),ruffe,1995
1383,Superior,Multiple (Cook Lake and St. Louis),spiny waterflea,1995
1384,Superior,Multiple (Cook Lake and St. Louis),viral hemorrhagic septicemia,2010
1385,Superior,Multiple (Cook Lake and St. Louis),white perch,1995
1386,Superior,Multiple (Cook Lake and St. Louis),zebra mussel,1995
1387,Superior Tributaries,Multiple (Cook Lake and St. Louis),round goby,2010
1388,Superior Tributaries,Multiple (Cook Lake and St. Louis),ruffe,2010
1389,Superior Tributaries,Multiple (Cook Lake and St. Louis),viral hemorrhagic septicemia,2010
1390,Superior Tributaries,Multiple (Cook Lake and St. Louis),white perch,2010
1391,Susan,Carver,brittleleaf naiad,2019
1392,Susan,Carver,Eurasian watermilfoil,2005
1393,Swan,Kandiyohi,zebra mussel,2018
1394,Swan,Otter Tail,zebra mussel,2019
1395,Swan (located in the NW 1/4 of the NW 1/4 of S4 T117N R23W),Hennepin,Eurasian watermilfoil,1995
1396,Swede,Carver,Eurasian watermilfoil,2008
