,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
190,Coon,Anoka,Eurasian watermilfoil,2004
191,Coon-Sandwick,Itasca,Eurasian watermilfoil,2014
192,County ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012
193,County ditches connected to designated infested waters in Jackson County,Jackson,bighead carp,2012
194,County ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012
195,County ditches connected to designated infested waters in Jackson County,Jackson,silver carp,2012
196,Courthouse,Carver,Eurasian watermilfoil,2016
197,Cowdry (Cowdrey),Douglas,zebra mussel,2011
198,Crane,St. Louis,spiny waterflea,2007
199,Crooked,Anoka,Eurasian watermilfoil,1995
200,Crooked,Crow Wing,Eurasian watermilfoil,2018
201,Crooked,Lake,spiny waterflea,2014
202,Crooked,Douglas,zebra mussel,2022
203,Crooked,Lake,zebra mussel,2014
204,Crookneck,Morrison,Eurasian watermilfoil,2018
205,Crookneck,Morrison,zebra mussel,2018
206,Cross,Pine,Eurasian watermilfoil,2005
207,Cross,Crow Wing,zebra mussel,2014
208,Crow Wing River downstream of the confluence with the Long Prairie River to the Mississippi River ,Multiple (Cass and Morrison counties),zebra mussel,2009
209,Crow Wing River from Highway 87 in Hubbard County downstream to the confluence with the Mississippi River including 500 feet upstream into its tributaries  ,Multiple (Cass Hubbard Morrison Todd and Wadena),faucet snail,2010
210,Crystal,Dakota,Eurasian watermilfoil,1995
211,Crystal,Otter Tail,zebra mussel,2009
212,Curfman (Deadshot Bay),Becker,flowering rush,2007
213,Cut Foot Sioux,Itasca,faucet snail,2009
214,Cut Foot Sioux,Itasca,zebra mussel,2013
215,Dade,Cass,zebra mussel,2020
216,Daggett,Crow Wing,zebra mussel,2014
217,Darling,Douglas,zebra mussel,2009
218,Davies,Otter Tail,zebra mussel,2019
219,Dayton Hollow Reservoir,Otter Tail,zebra mussel,2013
220,Dead,Otter Tail,zebra mussel,2019
221,Dead River,St. Louis,spiny waterflea,2010
222,Deer,Wright,Eurasian watermilfoil,2000
223,Deer,Otter Tail,zebra mussel,2017
224,Deer,Wright,zebra mussel,2023
225,DeMontreville,Washington,Eurasian watermilfoil,2009
226,Detroit,Becker,flowering rush,2007
227,Detroit,Becker,zebra mussel,2016
228,Devil Track,Cook,spiny waterflea,2008
229,Devilfish,Cook,spiny waterflea,2016
230,Devils,Douglas,zebra mussel,2017
231,Dora,Itasca,zebra mussel,2017
232,Duck,Hennepin,Eurasian watermilfoil,2020
233,Duck,Hubbard,faucet snail,2019
234,Dutch,Hennepin,Eurasian watermilfoil,1995
